timestamp,metric_name,metric_type,metric_value,service_name,pod_name,container_id,label_area,label_env,help_text,_anomaly
2026-03-05T00:00:00.000Z,jvm_memory_used_bytes,gauge,320240054,terminal-handler,terminal-handler-pod-7d9f-xk2lp,a3f2b19c04d1,heap,prod-sim,Used bytes of JVM heap memory,
2026-03-05T00:00:00.000Z,jvm_memory_max_bytes,gauge,1073741824,terminal-handler,terminal-handler-pod-7d9f-xk2lp,a3f2b19c04d1,heap,prod-sim,Max bytes of JVM heap memory,
2026-03-05T00:00:00.000Z,process_cpu_usage,gauge,0.08,terminal-handler,terminal-handler-pod-7d9f-xk2lp,a3f2b19c04d1,,prod-sim,Process CPU usage fraction,
2026-03-05T00:00:00.000Z,jvm_gc_pause_seconds_sum,counter,0.0,terminal-handler,terminal-handler-pod-7d9f-xk2lp,a3f2b19c04d1,,prod-sim,Total time in GC pauses,
2026-03-05T00:00:00.000Z,jvm_threads_live_threads,gauge,33,terminal-handler,terminal-handler-pod-7d9f-xk2lp,a3f2b19c04d1,,prod-sim,Live JVM threads,
2026-03-05T00:00:00.000Z,db_connection_pool_active,gauge,2,terminal-handler,terminal-handler-pod-7d9f-xk2lp,a3f2b19c04d1,,prod-sim,Active DB connections,
2026-03-05T00:00:00.000Z,db_connection_pool_idle,gauge,8,terminal-handler,terminal-handler-pod-7d9f-xk2lp,a3f2b19c04d1,,prod-sim,Idle DB connections,
2026-03-05T00:00:00.000Z,terminal_handler_transactions_processed_total,counter,0,terminal-handler,terminal-handler-pod-7d9f-xk2lp,a3f2b19c04d1,,prod-sim,Total transactions processed,
2026-03-05T00:00:00.000Z,terminal_handler_transactions_failed_total,counter,0,terminal-handler,terminal-handler-pod-7d9f-xk2lp,a3f2b19c04d1,,prod-sim,Total failed transactions,
2026-03-05T00:01:00.000Z,jvm_memory_used_bytes,gauge,318866931,terminal-handler,terminal-handler-pod-7d9f-xk2lp,a3f2b19c04d1,heap,prod-sim,Used bytes of JVM heap memory,
2026-03-05T00:01:00.000Z,jvm_memory_max_bytes,gauge,1073741824,terminal-handler,terminal-handler-pod-7d9f-xk2lp,a3f2b19c04d1,heap,prod-sim,Max bytes of JVM heap memory,
